site,subsite,pit,pitID,ecosystem,aciMean,aciMax,aciMin
LUQ,IC,T,LUQICT,Older tropical rainforest,0.09656468073575541,0.41640312215542297,0.00808667920874043
LUQ,EV,T,LUQEVT,Younger tropical rainforest,0.11558028573430157,0.18153050254479344,0.03311977191067257
LUQ,EV,R,LUQEVR,Younger tropical rainforest,0.17504521219366906,0.25963728485663723,0
LUQ,EV,M,LUQEVM,Younger tropical rainforest,0.2165930110326953,0.37718928379951844,0.02878672086430762
LUQ,IC,R,LUQICR,Older tropical rainforest,0.32283250179860923,0.8278787615746875,0.0383452875583394
LUQ,IC,M,LUQICM,Older tropical rainforest,0.4374318072976734,1.111834203910704,0.054854040459550786
RC,SWL,T,RCSWLT,Aspen stand,0.5000699963763934,1.193072338346189,0.13252087083163827
SN,SJER,R,SNSJERR,Oak savanna,0.5056158448583704,0.9086256605535947,0.24448291323495686
SN,SJER,T,SNSJERT,Oak savanna,0.511546294459706,0.9477614755192035,0.33986013323632586
CA,MC,M,CAMCM,Fir and pine forest,0.8843531179159002,1.9180513579203,0.12282149127361315
SN,SJER,M,SNSJERM,Oak savanna,0.9239787208237701,1.9795807636644984,0.25861842088791737
RC,NL,M,RCNLM,Semi-arid shrubland,0.9365704806760197,2.0468938943209705,0.13460095746983874
CA,MC,R,CAMCR,Fir and pine forest,1.0179687884314572,2.7159307298721864,0.07011982965000278
CA,SD,T,CASDT,Desert,1.2642697116997983,1.9345609288434857,0.8024961003377865
R8,P,M,R8PM,Temperate pine forest,1.4148176832968702,3.1903884484354013,0.27723675879639026
RC,NL,T,RCNLT,Semi-arid shrubland,1.8566279168711177,4.374745793421102,0.15674752518999796
R8,P,R,R8PR,Temperate pine forest,2.005561782619256,8.128716141524407,0
R8,H,R,R8HR,Temperate hardwood forest,2.8973413144659816,9.889782556427866,0.2640943529664552
CA,MC,T,CAMCT,Fir and pine forest,3.4923703649770443,13.093612348373517,0.07531281110564023
R8,H,M,R8HM,Temperate hardwood forest,3.80322002511346,9.43244161331971,0.5669185355390794
