site,subsite,pit,pitID,deepACI,aggSize,arealClayContent,meanClayConcentration,precip7,precip14,precip30,precip90,pet_map,aet_map
CA,MC,R,CAMCR,1.509613683,-1.187236518,-1.287630988,-0.932816245,-0.8598873210337699,-1.1260995787196584,-0.6157188014644676,0.47365898451682054,0.24553009830435704,-1.2759653602224863
CA,MC,M,CAMCM,0.472426777,-1.047099989,-0.983185176,0.321566257,-0.8598873210337699,-0.6897569699758265,-0.7228996575186811,-0.7741346619654397,0.24553009830435704,-1.2759653602224863
CA,MC,T,CAMCT,0.202835386,-0.132689548,-0.023342357,0.418202709,-0.8598873210337699,-0.6897569699758265,-0.7228996575186811,-0.7741346619654397,0.24553009830435704,-1.2759653602224863
CA,SD,T,CASDT,-1.193821176,-0.978144804,-1.343578926,-1.097460719,-0.8598873210337699,-1.0254051305480048,-0.7994574118431194,-0.8881462641820929,2.2432775851208984,-0.8645488388623486
LUQ,EV,R,LUQEVR,-1.129828107,0.717479677,1.9052270904781199,2.165390881,1.22468800268446,1.22343754528559,1.4896194424575844,1.4142547028042096,-1.005190230782595,-0.47597525651937844
LUQ,EV,M,LUQEVM,-1.276205386,0.78032143,1.218500614,1.819547186,1.22468800268446,1.22343754528559,1.4896194424575844,1.4142547028042096,-1.005190230782595,-0.47597525651937844
LUQ,EV,T,LUQEVT,-0.480251783,1.68860541,-0.490817843,1.817120841,1.22468800268446,1.22343754528559,1.4896194424575844,1.4142547028042096,-1.005190230782595,-0.47597525651937844
LUQ,IC,R,LUQICR,-1.302276952,0.460773879,1.812420865,-0.338966683,1.52248447750135,1.4919560737433328,1.42071746356559,1.3984197580518969,-0.90752265795483,0.15239055563792173
LUQ,IC,M,LUQICM,1.123567052,1.521634873,0.971698262,0.992627504,1.52248447750135,1.4919560737433328,1.42071746356559,1.3984197580518969,-0.90752265795483,0.15239055563792173
LUQ,IC,T,LUQICT,-1.269657161,0.974784169,0.33509413,0.252090508,1.52248447750135,1.4919560737433328,1.42071746356559,1.3984197580518969,-0.90752265795483,0.15239055563792173
R8,H,R,R8HR,-0.562552876,0.103106985,0.938976264,0.197261762,-0.6737645242732136,-0.3541088094036481,-0.6080630260320238,-0.3972629768603915,-0.4823035454129099,0.9229569954956918
R8,H,M,R8HM,-0.898011133,0.672882653,0.134476016,-0.752244639,-0.6737645242732136,-0.3541088094036481,-0.6080630260320238,-0.3972629768603915,-0.480752658654532,0.7477674284242449
R8,P,R,R8PR,0.349280774,0.835541673,0.974970933,-0.705369985,0.8152178498112362,0.48501159202679783,0.19579339437457788,-0.13756988292245922,-0.4906611597637789,0.6330818983413508
R8,P,M,R8PM,0.236704707,0.595881514,-0.282694905,-0.104794065,-0.6737645242732136,-0.3541088094036481,-0.6080630260320238,-0.3972629768603915,-0.4906611597637789,0.6330818983413508
RC,NL,M,RCNLM,1.02873329,-1.367498002,-0.326994645,-0.489025577,-0.3387434901042124,-0.21984954517477673,-0.5927514751671361,-0.824806485172841,-0.3096428507059786,-1.296710586595948
RC,NL,T,RCNLT,1.63356324,0.044609391,-0.842588721,-0.46321465,-0.3387434901042124,-0.21984954517477673,-0.5927514751671361,-0.824806485172841,-0.31717733415993193,-1.266442040403365
RC,SWL,T,RCSWLT,1.199763117,-1.464357643,-0.851913228,-0.420346862,-0.3387434901042124,-0.21984954517477673,-0.5927514751671361,-0.824806485172841,1.1542880440890633,1.0173613160931667
SN,SJER,R,SNSJERR,-0.074167331,-1.42982672,-0.736024802,-1.064484909,-0.8598873210337699,-1.1260995787196584,-0.8204801711806101,-0.8518842406992962,1.3937790382208475,1.4040392547894591
SN,SJER,M,SNSJERM,0.831614113,-0.692920534,-0.223664028,-0.826075107,-0.8598873210337699,-1.1260995787196584,-0.8204801711806101,-0.8518842406992962,1.3937790382208475,1.4040392547894591
SN,SJER,T,SNSJERT,-0.401330233,-0.095847896,-0.898928555,-0.789008211,-0.8598873210337699,-1.1260995787196584,-0.8224247381404508,-0.9677200285514158,1.3876233741084556,1.4640236028987825
