site,subsite,pit,pitID,month,year,startDepth,endDepth,plottingDepth,eoc,soc,root,aci
CA,MC,M,CAMCM,May,2023,0,5,2.5,103.38,10.0053,0.616,0.122821491273613
CA,MC,M,CAMCM,May,2023,5,10,7.5,100.88,5.17754,0.48,0.297227534492143
CA,MC,M,CAMCM,May,2023,10,20,15,112.76,5.12397,0.739,0.218048305523409
CA,MC,M,CAMCM,May,2023,20,30,25,137.59,2.7381,0.719,0.51174939823338
CA,MC,M,CAMCM,May,2023,30,40,35,123.35,0.920778,0.639,1.53508358277262
CA,MC,M,CAMCM,May,2023,40,50,45,139.2,2.6023,0.733,0.534350923786968
CA,MC,M,CAMCM,May,2023,50,55,52.5,155.82,1.656995,0.658,1.04646516038077
CA,MC,M,CAMCM,May,2023,55,60,57.5,173.84,1.31315,0.546,1.77538030685989
CA,MC,M,CAMCM,May,2023,60,65,62.5,206,1.51235,0.52,1.9180513579203
CA,MC,R,CAMCR,October,2021,0,6,3,189.04,21.1507,0.933333333333333,0.0701198296500028
CA,MC,R,CAMCR,October,2021,6,10,8,126.09,7.20961,0.605,0.211671390752484
CA,MC,R,CAMCR,October,2021,10,20,15,126.26,4.231305,0.874,0.249993482693969
CA,MC,R,CAMCR,October,2021,20,30,25,118.01,2.87225,0.829,0.362903124460238
CA,MC,R,CAMCR,October,2021,30,40,35,69.41,1.80673,0.7,0.401864288135649
CA,MC,R,CAMCR,October,2021,40,50,45,78.58,1.2526,0.507,0.90602529634264
CA,MC,R,CAMCR,October,2021,50,60,55,63.99,1.43449,0.424,0.77036650929965
CA,MC,R,CAMCR,October,2021,60,70,65,74.07,0.7130735,0.39,1.95025817135226
CA,MC,R,CAMCR,October,2021,70,80,75,72.49,0.378755,0.516,2.71593072987219
CA,MC,R,CAMCR,October,2021,80,85,82.5,57.08,0.320067,0.514,2.54055506175549
CA,MC,T,CAMCT,May,2023,0,6,3,75.63,11.8919,0.618333333333333,0.0753128111056402
CA,MC,T,CAMCT,May,2023,6,10,8,80.38,3.23245,0.35,0.520231694157825
CA,MC,T,CAMCT,May,2023,10,20,15,84.74,3.380135,0.738,0.248740622840234
CA,MC,T,CAMCT,May,2023,20,23,21.5,85.29,2.56342,0.71,0.343137879350114
CA,MC,T,CAMCT,May,2023,23,30,26.5,86.11,1.66336,0.61,0.621421344637617
CA,MC,T,CAMCT,May,2023,30,40,35,81.73,1.61947,0.646,0.572037815183279
CA,MC,T,CAMCT,May,2023,40,43,41.5,94.99,0.775457,0.37,2.42419252949859
CA,MC,T,CAMCT,May,2023,43,50,46.5,87.86,0.7922,0.394285714285714,2.05965264743758
CA,MC,T,CAMCT,May,2023,50,60,55,129,0.600606,0.292,5.38599391019273
CA,MC,T,CAMCT,May,2023,60,70,65,85.31,0.638246,0.279,3.50797348928571
CA,MC,T,CAMCT,May,2023,70,80,75,119.64,0.744211,0.39,3.01831372125067
CA,MC,T,CAMCT,May,2023,80,85,82.5,126,0.871362,0.47,2.25280051285377
CA,MC,T,CAMCT,May,2023,85,90,87.5,130.77,0.843791,0.408,2.78138903013653
CA,MC,T,CAMCT,May,2023,90,100,95,141.92,1.01851,0.337,3.02759005407262
CA,MC,T,CAMCT,May,2023,100,105,102.5,132.51,0.829202,0.282,4.14942453327849
CA,MC,T,CAMCT,May,2023,105,110,107.5,102.97,0.199573,0.296,12.7633853500003
CA,MC,T,CAMCT,May,2023,110,120,115,170,0.231311,0.411,13.0936123483735
CA,MC,T,CAMCT,May,2023,120,130,125,138.41,0.4107895,0.41,6.01745627593161
