site,subsite,pit,pitID,downslopeACI,aggSize,arealClayContent,meanClayConcentration,precip7,precip14,precip30,precip90,pet_map,aet_map
CA,MC,M,CAMCM,-0.671842952,-1.013948777,-1.478101624,-0.925284374,-0.8293632042573801,-0.7277713144766418,-0.7401394372860732,-0.7683014163043469,0.4639859975789838,-1.2301043298664858
CA,MC,T,CAMCT,1.946121727,-0.880971063,-1.209490969,0.194588964,-0.8293632042573801,-0.7277713144766418,-0.7401394372860732,-0.7683014163043469,0.4639859975789838,-1.2301043298664858
LUQ,EV,M,LUQEVM,-0.407595736,0.79346579800000006,1.338937289,1.840697733,1.1058176056765068,1.0829930274950028,1.289530739510752,1.2521845448990827,-0.941329348837828,-0.44677754620112714
LUQ,EV,T,LUQEVT,-0.906536366,0.853097306,0.733042771,1.531939335,1.1058176056765068,1.0829930274950028,1.289530739510752,1.2521845448990827,-0.941329348837828,-0.44677754620112714
LUQ,IC,M,LUQICM,0.002466004,0.549873707,1.257054931,-0.395114118,1.3822720070956336,1.3371353912804969,1.2263230177419926,1.2375645307080303,-0.8315895966724998,0.16849977826077614
LUQ,IC,T,LUQICT,-1.150226817,1.556541065,0.515290584,0.79369139,1.3822720070956336,1.3371353912804969,1.2263230177419926,1.2375645307080303,-0.8315895966724998,0.16849977826077614
R8,H,M,R8HM,0.204355065,0.210478074,0.486420168,0.083613811,-0.656579203370426,-0.4100933597447743,-0.6347932343381412,-0.4203450785573018,-0.3520687833785908,0.7514753034199357
R8,P,M,R8PM,-0.581830909,0.905496646,0.518178041,-0.722227489,-0.656579203370426,-0.4100933597447743,-0.6347932343381412,-0.4203450785573018,-0.36320202263678525,0.6391786050021135
RC,NL,T,RCNLT,0.845998144,-1.185001679,-0.630538127,-0.529081991,-0.3455680017739084,-0.2830221778520273,-0.6207470739450835,-0.8150854617157143,-0.16827476607403163,-1.2207793751586742
SN,SJER,M,SNSJERM,1.383196103,-1.244146361,-0.991422902,-1.042834025,-0.8293632042573801,-1.1407526556280694,-0.8296556174710294,-0.8400856859824137,1.7541640008017139,1.3940773763421244
SN,SJER,T,SNSJERT,-0.664104263,-0.544884716,-0.539370163,-0.829989235,-0.8293632042573801,-1.1407526556280694,-0.8314394798409478,-0.9470340137927996,1.7472474671503844,1.452812286008179
