site,subsite,pit,pitID,ecosystem,eocMean,eocMax,eocMin
SN,SJER,M,SNSJERM,Oak savanna,30.024762106947055,141.97,0
SN,SJER,T,SNSJERT,Oak savanna,32.614212830279484,107.47,11.3957800760835
R8,P,M,R8PM,Temperate pine forest,41.39036036036036,229.12,0
R8,H,R,R8HR,Temperate hardwood forest,42.5286507936508,207.82,0
R8,P,R,R8PR,Temperate pine forest,44.82016,292.79,0
CA,SD,T,CASDT,Desert,48.748333333333335,181.3,25.11
R8,H,M,R8HM,Temperate hardwood forest,49.45101694915254,184.46,0
RC,SWL,T,RCSWLT,Aspen stand,58.87036458333333,236.67,0
RC,NL,T,RCNLT,Semi-arid shrubland,63.846276595744676,212.61,0
SN,SJER,R,SNSJERR,Oak savanna,65.31676077443062,164.82,7.33
LUQ,IC,R,LUQICR,Older tropical rainforest,70.41337209302326,270.18,5.66
CA,MC,R,CAMCR,Fir and pine forest,81.4252380952381,189.04,28.59
LUQ,EV,M,LUQEVM,Younger tropical rainforest,91.81343749999999,331.45,17.81
RC,NL,M,RCNLM,Semi-arid shrubland,102.19861445783133,395.39,30.69
LUQ,IC,M,LUQICM,Older tropical rainforest,110.97485714285715,336.72,20.63
CA,MC,T,CAMCT,Fir and pine forest,116.36911764705881,232.03,36.99
LUQ,IC,T,LUQICT,Older tropical rainforest,119.37130434782608,356.8,50.27
LUQ,EV,T,LUQEVT,Younger tropical rainforest,123.79,265.9,46.22
LUQ,EV,R,LUQEVR,Younger tropical rainforest,124.54225,537.44,0
CA,MC,M,CAMCM,Fir and pine forest,135.48473684210526,206,86.77
