site,subsite,pit,pitID,startDepth,endDepth,horizon,geneticHorizon
R8,H,R,R8HR,0,13,A,A
R8,H,R,R8HR,13,18,BA,B
R8,H,R,R8HR,18,91,Bt,B
R8,H,R,R8HR,91,112,BC,B
R8,H,R,R8HR,112,132,C1,C
R8,H,R,R8HR,132,200,C2,C
R8,H,M,R8HM,0,10,A,A
R8,H,M,R8HM,10,28,E,E
R8,H,M,R8HM,28,58,Bt,B
R8,H,M,R8HM,58,74,BC,B
R8,H,M,R8HM,74,99,BCt,B
R8,H,M,R8HM,99,140,CB,B
R8,P,R,R8PR,0,5,A,A
R8,P,R,R8PR,5,51,Bt,B
R8,P,R,R8PR,51,81,Bt2,B
R8,P,R,R8PR,81,119,Bt3,B
R8,P,R,R8PR,119,188,BCt,B
R8,P,R,R8PR,188,200,C,C
R8,P,M,R8PM,0,10,A,A
R8,P,M,R8PM,10,60,Bt,B
R8,P,M,R8PM,60,92,CB,C
R8,P,M,R8PM,92,100,C,C
CA,SD,R,CASDR,0,8,A,A
CA,SD,R,CASDR,8,38,2Crt1,C
CA,SD,R,CASDR,38,50,2Crt2,C
CA,SD,M,CASDM,0,14,A,A
CA,SD,M,CASDM,14,32,2Crt1,C
CA,SD,T,CASDT,0,10,A,A
CA,SD,T,CASDT,10,30,A2,A
CA,SD,T,CASDT,30,55,Bw,B
CA,SD,T,CASDT,55,95,2C1,C
CA,SD,T,CASDT,95,105,3R,R
CA,MC,R,CAMCR,0,6,Oi,O
CA,MC,R,CAMCR,6,21,A,A
CA,MC,R,CAMCR,21,50,Bw,B
CA,MC,R,CAMCR,50,85,2Crt,C
CA,MC,R,CAMCR,85,99,2R,R
CA,MC,M,CAMCM,0,5,Oi,O
CA,MC,M,CAMCM,5,21,A,A
CA,MC,M,CAMCM,21,55,AB,B
CA,MC,M,CAMCM,55,61,2Crt,C
CA,MC,M,CAMCM,61,65,2R,R
CA,MC,T,CAMCT,0,6,Oi,O
CA,MC,T,CAMCT,6,23,A,A
CA,MC,T,CAMCT,23,43,AB,B
CA,MC,T,CAMCT,43,85,Bt1,B
CA,MC,T,CAMCT,85,105,Bt2,B
CA,MC,T,CAMCT,105,127,2R,R
SN,SJER,R,SNSJERR,0,5,A,A
SN,SJER,R,SNSJERR,5,19,A2,A
SN,SJER,R,SNSJERR,19,51,Bw,B
SN,SJER,R,SNSJERR,51,61,Bw2,B
SN,SJER,R,SNSJERR,61,86,BC,B
SN,SJER,M,SNSJERM,0,9,A,A
SN,SJER,M,SNSJERM,9,42,BA,B
SN,SJER,M,SNSJERM,42,66,Bw,B
SN,SJER,M,SNSJERM,66,89,BC,B
SN,SJER,M,SNSJERM,89,200,CR,C
SN,SJER,T,SNSJERT,0,10,A,A
SN,SJER,T,SNSJERT,10,29,B,B
SN,SJER,T,SNSJERT,29,42,Bg,B
SN,SJER,T,SNSJERT,42,50,R,R
SN,PROV,R,SNPROVR,0,4,Oe,O
SN,PROV,R,SNPROVR,4,20,A,A
SN,PROV,R,SNPROVR,20,52,AB,B
SN,PROV,R,SNPROVR,52,91,Bw,B
SN,PROV,R,SNPROVR,91,130,Cg,C
SN,PROV,M,SNPROVM,0,1,A,A
SN,PROV,M,SNPROVM,1,22,BA,B
SN,PROV,M,SNPROVM,22,64,Bw1,B
SN,PROV,M,SNPROVM,64,107,Bw2,B
SN,PROV,M,SNPROVM,107,138,BCt,B
SN,PROV,M,SNPROVM,138,200,Cr,C
SN,PROV,T,SNPROVT,0,20,A,A
SN,PROV,T,SNPROVT,20,43,AB,B
SN,PROV,T,SNPROVT,43,76,Bw,B
SN,PROV,T,SNPROVT,76,94,CB,C
RC,SWL,T,RCSWLT,0,10,A1,A
RC,SWL,T,RCSWLT,10,25,A2,A
RC,SWL,T,RCSWLT,25,90,A3,A
RC,SWL,T,RCSWLT,90,160,AC,A
RC,SWL,T,RCSWLT,160,195,C,C
RC,NL,M,RCNLM,0,5,A1,A
RC,NL,M,RCNLM,5,20,A2,A
RC,NL,M,RCNLM,20,60,A3,A
RC,NL,M,RCNLM,60,125,A4,A
RC,NL,M,RCNLM,125,168,2A1,A
RC,NL,M,RCNLM,168,180,BC1,B
RC,NL,T,RCNLT,0,10,A1,A
RC,NL,T,RCNLT,10,30,A2,A
RC,NL,T,RCNLT,30,55,A3,A
RC,NL,T,RCNLT,55,100,A4,A
RC,NL,T,RCNLT,100,140,C1,C
RC,NL,T,RCNLT,140,200,C2,C
LUQ,EV,R,LUQEVR,0,20,A,A
LUQ,EV,R,LUQEVR,20,160,Bt,B
LUQ,EV,R,LUQEVR,160,200,C,C
LUQ,EV,M,LUQEVM,0,20,A,A
LUQ,EV,M,LUQEVM,20,110,Bt,B
LUQ,EV,M,LUQEVM,110,200,C,C
LUQ,EV,T,LUQEVT,0,10,A,A
LUQ,EV,T,LUQEVT,10,45,Bt,B
LUQ,EV,T,LUQEVT,45,80,C,C
LUQ,IC,M,LUQICM,0,35,A,A
LUQ,IC,M,LUQICM,35,93,Bt,B
LUQ,IC,M,LUQICM,93,200,C,C
LUQ,IC,R,LUQICR,0,10,A,A
LUQ,IC,R,LUQICR,10,70,Bt,B
LUQ,IC,R,LUQICR,70,190,BC,B
LUQ,IC,R,LUQICR,190,200,C,C
LUQ,IC,T,LUQICT,0,40,A,A
LUQ,IC,T,LUQICT,40,100,Bt,B
LUQ,IC,T,LUQICT,100,155,C,C
