site,subsite,pit,pitID,depth,root
CA,MC,M,CAMCM,1,0.59
CA,MC,M,CAMCM,2,0.7
CA,MC,M,CAMCM,3,0.63
CA,MC,M,CAMCM,4,0.76
CA,MC,M,CAMCM,5,0.4
CA,MC,M,CAMCM,6,0.5
CA,MC,M,CAMCM,7,0.46
CA,MC,M,CAMCM,8,0.5
CA,MC,M,CAMCM,9,0.5
CA,MC,M,CAMCM,10,0.44
CA,MC,M,CAMCM,11,0.97
CA,MC,M,CAMCM,12,0.91
CA,MC,M,CAMCM,13,0.82
CA,MC,M,CAMCM,14,0.87
CA,MC,M,CAMCM,15,0.84
CA,MC,M,CAMCM,16,0.84
CA,MC,M,CAMCM,17,0.44
CA,MC,M,CAMCM,18,0.57
CA,MC,M,CAMCM,19,0.46
CA,MC,M,CAMCM,20,0.67
CA,MC,M,CAMCM,21,0.78
CA,MC,M,CAMCM,22,0.7
CA,MC,M,CAMCM,23,0.78
CA,MC,M,CAMCM,24,0.74
CA,MC,M,CAMCM,25,0.7
CA,MC,M,CAMCM,26,0.74
CA,MC,M,CAMCM,27,0.67
CA,MC,M,CAMCM,28,0.74
CA,MC,M,CAMCM,29,0.67
CA,MC,M,CAMCM,30,0.67
CA,MC,M,CAMCM,31,0.67
CA,MC,M,CAMCM,32,0.7
CA,MC,M,CAMCM,33,0.57
CA,MC,M,CAMCM,34,0.7
CA,MC,M,CAMCM,35,0.59
CA,MC,M,CAMCM,36,0.68
CA,MC,M,CAMCM,37,0.5
CA,MC,M,CAMCM,38,0.63
CA,MC,M,CAMCM,39,0.63
CA,MC,M,CAMCM,40,0.72
CA,MC,M,CAMCM,41,0.88
CA,MC,M,CAMCM,42,0.7
CA,MC,M,CAMCM,43,0.79
CA,MC,M,CAMCM,44,0.77
CA,MC,M,CAMCM,45,0.7
CA,MC,M,CAMCM,46,0.77
CA,MC,M,CAMCM,47,0.68
CA,MC,M,CAMCM,48,0.7
CA,MC,M,CAMCM,49,0.68
CA,MC,M,CAMCM,50,0.66
CA,MC,M,CAMCM,51,0.66
CA,MC,M,CAMCM,52,0.68
CA,MC,M,CAMCM,53,0.7
CA,MC,M,CAMCM,54,0.66
CA,MC,M,CAMCM,55,0.59
CA,MC,M,CAMCM,56,0.68
CA,MC,M,CAMCM,57,0.66
CA,MC,M,CAMCM,58,0.52
CA,MC,M,CAMCM,59,0.37
CA,MC,M,CAMCM,60,0.5
CA,MC,M,CAMCM,61,0.43
CA,MC,M,CAMCM,62,0.5
CA,MC,M,CAMCM,63,0.63
CA,MC,R,CAMCR,1,1.1
CA,MC,R,CAMCR,2,1.08
CA,MC,R,CAMCR,3,1.03
CA,MC,R,CAMCR,4,1.06
CA,MC,R,CAMCR,5,0.66
CA,MC,R,CAMCR,6,0.67
CA,MC,R,CAMCR,7,0.64
CA,MC,R,CAMCR,8,0.6
CA,MC,R,CAMCR,9,0.54
CA,MC,R,CAMCR,10,0.64
CA,MC,R,CAMCR,11,0.86
CA,MC,R,CAMCR,12,0.9
CA,MC,R,CAMCR,13,0.91
CA,MC,R,CAMCR,14,0.88
CA,MC,R,CAMCR,15,0.84
CA,MC,R,CAMCR,16,0.8
CA,MC,R,CAMCR,17,0.97
CA,MC,R,CAMCR,18,0.84
CA,MC,R,CAMCR,19,0.88
CA,MC,R,CAMCR,20,0.86
CA,MC,R,CAMCR,21,0.79
CA,MC,R,CAMCR,22,0.79
CA,MC,R,CAMCR,23,0.79
CA,MC,R,CAMCR,24,0.79
CA,MC,R,CAMCR,25,0.8
CA,MC,R,CAMCR,26,0.9
CA,MC,R,CAMCR,27,0.87
CA,MC,R,CAMCR,28,0.91
CA,MC,R,CAMCR,29,0.89
CA,MC,R,CAMCR,30,0.76
CA,MC,R,CAMCR,31,0.78
CA,MC,R,CAMCR,32,0.91
CA,MC,R,CAMCR,33,0.74
CA,MC,R,CAMCR,34,0.74
CA,MC,R,CAMCR,35,0.63
CA,MC,R,CAMCR,36,0.61
CA,MC,R,CAMCR,37,0.7
CA,MC,R,CAMCR,38,0.67
CA,MC,R,CAMCR,39,0.63
CA,MC,R,CAMCR,40,0.59
CA,MC,R,CAMCR,41,0.61
CA,MC,R,CAMCR,42,0.42
CA,MC,R,CAMCR,43,0.48
CA,MC,R,CAMCR,44,0.54
CA,MC,R,CAMCR,45,0.43
CA,MC,R,CAMCR,46,0.48
CA,MC,R,CAMCR,47,0.56
CA,MC,R,CAMCR,48,0.48
CA,MC,R,CAMCR,49,0.6
CA,MC,R,CAMCR,50,0.47
CA,MC,R,CAMCR,51,0.31
CA,MC,R,CAMCR,52,0.37
CA,MC,R,CAMCR,53,0.56
CA,MC,R,CAMCR,54,0.56
